Test Case,Request Number,Latency (seconds)
1,88,0.02350783348083496
1,89,0.027963876724243164
1,90,0.0246732234954834
1,91,0.025632143020629883
1,92,0.0230560302734375
1,93,0.02325439453125
1,94,0.02220940589904785
1,95,0.02698659896850586
1,96,0.03238344192504883
1,97,0.024213314056396484
1,98,0.023654937744140625
1,99,0.019193410873413086
1,100,0.03040003776550293
2,1,0.02548527717590332
2,2,0.02444624900817871
2,3,0.023723363876342773
2,4,0.024046659469604492
2,5,0.023358583450317383
2,6,0.020952701568603516
2,7,0.024329185485839844
2,8,0.021475791931152344
2,9,0.018602371215820312
2,10,0.026799917221069336
2,11,0.024563074111938477
2,12,0.021908283233642578
2,13,0.02234649658203125
2,14,0.02354145050048828
2,15,0.019183635711669922
2,16,0.020949840545654297
2,17,0.020923137664794922
2,18,0.0302581787109375
2,19,0.024292945861816406
2,20,0.022670269012451172
2,21,0.022791624069213867
2,22,0.028531551361083984
2,23,0.02386021614074707
2,24,0.023149967193603516
2,25,0.022397279739379883
2,26,0.0222012996673584
2,27,0.018594980239868164
2,28,0.029556751251220703
2,29,0.02321767807006836
2,30,0.023367881774902344
2,31,0.019224882125854492
2,32,0.027132511138916016
2,33,0.02206707000732422
2,34,0.024895906448364258
2,35,0.023016929626464844
2,36,0.02666759490966797
2,37,0.021058320999145508
2,38,0.028476476669311523
2,39,0.024760723114013672
2,40,0.028751850128173828
2,41,0.02221202850341797
2,42,0.024718046188354492
2,43,0.018732547760009766
2,44,0.025899171829223633
2,45,0.020310401916503906
2,46,0.02480769157409668
2,47,0.02619171142578125
2,48,0.023174762725830078
2,49,0.02722620964050293
2,50,0.024408578872680664
2,51,0.023578643798828125
2,52,0.030020475387573242
2,53,0.02441549301147461
2,54,0.022388219833374023
2,55,0.022705554962158203
2,56,0.024878978729248047
2,57,0.024924039840698242
2,58,0.021727561950683594
2,59,0.02416539192199707
2,60,0.02598118782043457
2,61,0.025893449783325195
2,62,0.023349523544311523
2,63,0.023307323455810547
2,64,0.021231651306152344
2,65,0.022790193557739258
2,66,0.019774198532104492
2,67,0.026336193084716797
2,68,0.0218660831451416
2,69,0.028103351593017578
2,70,0.02249455451965332
2,71,0.024346113204956055
2,72,0.022699594497680664
2,73,0.018861055374145508
2,74,0.026435375213623047
2,75,0.022130966186523438
2,76,0.031161785125732422
2,77,0.02325272560119629
2,78,0.033831119537353516
2,79,0.02653813362121582
2,80,0.022749662399291992
2,81,0.021191120147705078
2,82,0.025595903396606445
2,83,0.02309417724609375
2,84,0.0271608829498291
2,85,0.024308204650878906
2,86,0.022252798080444336
2,87,0.023603200912475586
2,88,0.025692224502563477
2,89,0.023433446884155273
2,90,0.02515578269958496
2,91,0.023490190505981445
2,92,0.017627477645874023
2,93,0.024370670318603516
2,94,0.02659749984741211
2,95,0.02462148666381836
2,96,0.024683475494384766
